key,english,spanish,german,french,italian,russian,japanese,portuguese,chinese,korean
C2S2,"That madman cannot be allowed 
to intefere with our plans.","No se puede permitir que ese loco
interfiera en nuestros planes.","Wir dürfen diesem Verrückten nicht erlauben,
in unsere Pläne einzugreifen.","On ne peut pas laisser ce fou
interférer avec nos plans.","Non possiamo permettere a quel pazzo
di interferire con i nostri piani.","Нельзя позволить этому безумцу
вмешаться в наши планы.","あの狂人に我々の計画を
邪魔させるわけにはいかない。","Não podemos permitir que aquele louco
interfira em nossos planos.","绝不能让那个疯子
干涉我们的计划。","그 미치광이가 우리의 계획을
방해하게 둘 순 없어."
C3S1,"It seems the madman Darius has
managed to track us.","Parece que el loco Darius ha
conseguido encontrarnos.","Es scheint, dass der Verrückte Darius
es geschafft hat, uns aufzuspüren.","On dirait que le fou de Darius a
réussi à nous retrouver.","Sembra che il pazzo Darius sia
riuscito a rintracciarci.","Похоже, безумцу Дариусу
удалось нас выследить.","どうやら狂人ダリウスが
我々を追跡してきたようだ。","Parece que o louco Darius
conseguiu nos rastrear.","看来那个疯子达里乌斯
已经追踪到我们了。","미치광이 다리우스가
우리를 추적해 온 모양이군."
C3T1,Can what he says be true? About his mighty god leading him?,¿Puede ser verdad lo que dice? ¿Que su poderoso dios lo está guiando?,"Kann das, was er sagt, wahr sein? Dass sein mächtiger Gott ihn führt?",Ce qu'il dit peut-il être vrai ? Que son dieu tout-puissant le guide ?,Può essere vero ciò che dice? Che il suo potente dio lo stia guidando?,"Неужели то, что он говорит, правда? Что его могущественный бог ведёт его?",あいつの言っていることは本当なのか？ あの強大な神が彼を導いているというのか？,Será verdade o que ele diz? Que seu poderoso deus o está guiando?,他说的是真的吗？他的强大神明正在引导他？,저자가 하는 말이 사실일까? 그의 위대한 신이 그를 이끌고 있다는 게?
C3S2,"FOOL! Belief in that false god
only makes it more powerful!","¡IDIOTA! ¡Creer en ese falso dios
solo lo hace más poderoso!","NARR! Der Glaube an diesen falschen Gott
macht ihn nur noch mächtiger!","IDIOT ! Croire en ce faux dieu
ne fait que le rendre plus puissant !","STOLTO! Credere in quel falso dio
lo rende solo più potente!","ГЛУПЕЦ! Вера в этого ложного бога
лишь делает его сильнее!","愚か者め！ あの偽りの神を信じることが
奴をさらに強くしているだけだ！","IDIOTA! Acreditar nesse falso deus
apenas o torna mais poderoso!","蠢货！相信那个虚假的神
只会让它变得更加强大！","바보! 그 거짓된 신을 믿는 건
놈을 더 강하게 만들 뿐이다!"
F1D1,"Glad to see your tiny brain
wasn't eaten!","¡Me alegra ver que no se comieron
tu diminuto cerebro!","Schön zu sehen, dass dein winziges Gehirn
nicht gefressen wurde!","Heureux de voir que ton minuscule cerveau
n'a pas été mangé !","Sono contento di vedere che il tuo minuscolo cervello
non è stato mangiato!","Рад видеть, что твой крошечный мозг
не съели!","お前のちっぽけな脳みそが
食われてなくてよかったな！","Que bom ver que seu minúsculo cérebro
não foi devorado!","很高兴看到你那小小的脑子
没有被吃掉！","네 작은 뇌가
먹히지 않아서 다행이군!"
F1L1,Something's happened to me...,Algo me ha pasado...,Etwas ist mit mir passiert...,Quelque chose m'est arrivé...,Mi è successo qualcosa...,Со мной что-то случилось...,私に何かが起きた……,Algo aconteceu comigo...,我身上发生了什么……,나에게 무슨 일이 생긴 거야...
F1V1,"You have completed
your holy mission.","Has cumplido
tu misión sagrada.","Du hast
deine heilige Mission erfüllt.","Tu as accompli
ta mission sacrée.","Hai compiuto
la tua missione sacra.","Ты выполнил
свою святую миссию.","お前は
聖なる使命を果たした。","Você cumpriu
sua missão sagrada.","你已经完成了
你的神圣使命。","너는
성스러운 임무를 완수했다."
F1V2,"With the death of Mulus, the non believers can no longer hide from
 my sight.","Con la muerte de Mulus, los no creyentes ya no pueden esconderse de
mi vista.","Mit dem Tod von Mulus können sich die Ungläubigen nicht länger vor
meinem Blick verbergen.","Avec la mort de Mulus, les non-croyants ne peuvent plus se cacher de
ma vue.","Con la morte di Mulus, i non credenti non possono più nascondersi alla
mia vista.","Со смертью Мулуса неверующие больше не могут скрываться от
моего взора.","ムルスの死によって、異教徒たちはもう
私の目から隠れることはできない。","Com a morte de Mulus, os descrentes não podem mais se esconder da
minha vista.","随着穆鲁斯的死亡，那些不信者再也无法躲避
我的视线。","물루스가 죽었으니, 믿지 않는 자들은 더 이상
내 시야에서 숨을 수 없다."
F1V3,"All who challenge my existence
must be punished,even your 
sister.","Todos los que desafíen mi existencia
deben ser castigados, incluso tu
hermana.","Alle, die meine Existenz infrage stellen,
müssen bestraft werden, sogar deine
Schwester.","Tous ceux qui défient mon existence
doivent être punis, même ta
sœur.","Tutti coloro che sfidano la mia esistenza
devono essere puniti, persino tua
sorella.","Все, кто бросает вызов моему существованию,
должны быть наказаны, даже твоя
сестра.","私の存在に異を唱える者は皆、
罰を受けねばならない。たとえお前の
妹であってもだ。","Todos os que desafiam minha existência
devem ser punidos, até mesmo sua
irmã.","所有质疑我存在的人
都必须受到惩罚，甚至包括你的
妹妹。","내 존재에 도전하는 자들은 모두
벌을 받아야 한다. 네
여동생조차도."
F1D2,"Years of your will, and you take my own sister in front of me!?","¡Después de años cumpliendo tu voluntad, te llevas a mi propia hermana delante de mí!?","Jahrelang habe ich deinen Willen erfüllt, und nun nimmst du meine eigene Schwester vor meinen Augen!?","Après des années à accomplir ta volonté, tu prends ma propre sœur sous mes yeux !?","Dopo anni passati a seguire la tua volontà, prendi mia sorella davanti ai miei occhi!?","Столько лет я исполнял твою волю, а ты забираешь мою собственную сестру прямо у меня на глазах!?",何年もお前の意志に従ってきたのに、目の前で俺の妹まで奪うのか！？,"Depois de anos cumprindo sua vontade, você leva minha própria irmã diante dos meus olhos!?",我多年遵循你的意志，你却当着我的面夺走我的亲妹妹！？,"수년 동안 네 뜻을 따랐는데, 내 눈앞에서 내 여동생을 데려가겠다고!?"
F1V4,SHE MADE HER DECISION DARIUS.,"ELLA TOMÓ SU DECISIÓN, DARIUS.","SIE HAT IHRE ENTSCHEIDUNG GETROFFEN, DARIUS.","ELLE A FAIT SON CHOIX, DARIUS.","HA FATTO LA SUA SCELTA, DARIUS.","ОНА СДЕЛАЛА СВОЙ ВЫБОР, ДАРИУС.",彼女は自分で決めたのだ、ダリウス。,"ELA FEZ A ESCOLHA DELA, DARIUS.",她做出了自己的选择，达里乌斯。,"그녀가 스스로 선택했다, 다리우스."
F1V5,"She was alive in your arms, as I
told you she would be. 
Consider this mercy.","Estaba viva en tus brazos, como te
dije que estaría.
Considera esto misericordia.","Sie war lebendig in deinen Armen, wie ich
dir gesagt hatte.
Betrachte dies als Gnade.","Elle était vivante dans tes bras, comme je
te l'avais dit.
Considère cela comme de la miséricorde.","Era viva tra le tue braccia, come ti
avevo detto.
Considera questo un atto di misericordia.","Она была жива в твоих объятиях, как я
тебе и говорил.
Считай это милостью.","私が言った通り、彼女はお前の腕の中で
生きていた。
これを慈悲だと思え。","Ela estava viva em seus braços, como eu
lhe disse que estaria.
Considere isso uma misericórdia.","她曾活着躺在你的怀里，就像我
告诉你的那样。
把这当作慈悲吧。","내가 말했듯이 그녀는 네 품에서
살아 있었다.
이것을 자비라고 여겨라."
F1D3,"Mulus, he was the last thing protecting her.","Mulus, él era lo último que la protegía.","Mulus, er war das Letzte, was sie beschützt hat.","Mulus, il était la dernière chose qui la protégeait.","Mulus, era l'ultima cosa che la proteggeva.","Мулус, он был последним, что защищало её.",ムルス……あいつが彼女を守っていた最後の存在だった。,"Mulus, ele era a última coisa que a protegia.",穆鲁斯，他是最后一个保护她的存在。,"물루스, 그가 그녀를 지켜주던 마지막 존재였어."
F1D4,"By killing him, I doomed poor Lily. 
What have I done?!","Al matarlo, condené a la pobre Lily.
¿Qué he hecho?!","Indem ich ihn getötet habe, habe ich die arme Lily ins Verderben gestürzt.
Was habe ich getan?!","En le tuant, j'ai condamné la pauvre Lily.
Qu'est-ce que j'ai fait ?!","Uccidendolo, ho condannato la povera Lily.
Cosa ho fatto?!","Убив его, я обрёк бедную Лили.
Что же я наделал?!","あいつを殺したことで、哀れなリリーを破滅させてしまった。
俺は何をしたんだ！？","Ao matá-lo, condenei a pobre Lily.
O que foi que eu fiz?!","杀了他，我害惨了可怜的莉莉。
我到底做了什么？！","그를 죽여서 불쌍한 릴리를 파멸시켰어.
내가 무슨 짓을 한 거야?!"
F1N1,Do not lose hope yet Darius.,"No pierdas la esperanza todavía, Darius.","Verliere noch nicht die Hoffnung, Darius.","Ne perds pas encore espoir, Darius.","Non perdere ancora la speranza, Darius.","Не теряй надежду, Дариус.",まだ希望を失うな、ダリウス。,"Não perca a esperança ainda, Darius.",还不要失去希望，达里乌斯。,"아직 희망을 잃지 마, 다리우스."
F1N2,"The lord of the underworld 
demands an audience.","El señor del inframundo
exige una audiencia.","Der Herr der Unterwelt
verlangt eine Audienz.","Le seigneur des enfers
exige une audience.","Il signore degli inferi
esige un'udienza.","Владыка подземного мира
требует аудиенции.","冥界の王が
面会を求めている。","O senhor do submundo
exige uma audiência.","冥界之主
要求与你会面。","저승의 군주가
알현을 요구한다."
PAR2,Part2?,Parte 2?,Teil 2?,Partie 2 ?,Parte 2?,Часть 2?,パート2？,Parte 2?,第二部分？,파트 2?
BUTTON2,Back,Atrás,Zurück,Retour,Indietro,Назад,戻る,Voltar,返回,뒤로
BUTTONO,Options,Opciones,Optionen,Options,Opzioni,Настройки,オプション,Opções,选项,옵션
BUTTONA,Audio,Audio,Audio,Audio,Audio,Аудио,オーディオ,Áudio,音频,오디오
BUTTONL,Language,Idioma,Sprache,Langue,Lingua,Язык,言語,Idioma,语言,언어
CONTROL,Controls,Controles,Steuerung,Commandes,Comandi,Управление,操作方法,Controles,操作,조작
VOLUME,Volume,Volumen,Lautstärke,Volume,Volume,Громкость,音量,Volume,音量,볼륨
LEVSELECT,Level Select,Selección de nivel,Levelauswahl,Sélection de niveau,Selezione livello,Выбор уровня,レベル選択,Seleção de nível,选择关卡,레벨 선택
PART1,Part1: Betrayed Believer,Parte 1: El Creyente Traicionado,Teil 1: Der verratene Gläubige,Partie 1 : Le croyant trahi,Parte 1: Il credente tradito,Часть 1: Преданный верующий,パート1：裏切られた信徒,Parte 1: O Crente Traído,第一部分：被背叛的信徒,파트 1: 배신당한 신자
C0V1,"Go forth Darius!
Mulus cowers in the old factory.","¡Adelante, Darius!
Mulus se esconde en la vieja fábrica.","Vorwärts, Darius!
Mulus versteckt sich in der alten Fabrik.","En avant, Darius !
Mulus se terre dans la vieille usine.","Avanti, Darius!
Mulus si nasconde nella vecchia fabbrica.","Вперёд, Дариус!
Мулус прячется на старой фабрике.","行け、ダリウス！
ムルスは古い工場に潜んでいる。","Vá em frente, Darius!
Mulus está escondido na velha fábrica.","出发吧，达里乌斯！
穆鲁斯躲在旧工厂里。","가라, 다리우스!
물루스가 낡은 공장에 숨어 있다."
C0,Movement,Movimiento,Bewegung,Déplacement,Movimento,Движение,移動,Movimento,移动,이동
C1,Fire,Disparar,Feuern,Tir,Sparo,Огонь,射撃,Atirar,射击,발사
C2,Reload,Recargar,Nachladen,Recharger,Ricarica,Перезарядка,リロード,Recarregar,装填,재장전
C3,Jump,Saltar,Springen,Sauter,Salto,Прыжок,ジャンプ,Pular,跳跃,점프
C4,Special,Especial,Spezial,Spécial,Speciale,Особая атака,特殊,Especial,特殊攻击,특수
L1,Sinner Street,Calle de los Pecadores,Sünderstraße,Rue des Pécheurs,Via dei Peccatori,Улица грешников,罪人通り,Rua dos Pecadores,罪人街,죄인의 거리
L2,Bike Battle,Batalla de motos,Motorradkampf,Bataille à moto,Battaglia in moto,Битва на мотоциклах,バイクバトル,Batalha de motos,摩托车大战,바이크 전투
L3,Old Factory,Vieja fábrica,Alte Fabrik,Vieille usine,Vecchia fabbrica,Старая фабрика,古い工場,Fábrica Velha,旧工厂,낡은 공장
L4,Demons Loft,El refugio del demonio,Das Versteck des Dämons,Le repaire du démon,Il covo del demone,Логово демона,悪魔のアジト,O Refúgio do Demônio,恶魔巢穴,악마의 은신처
SIGN1,Jump High by holding up before jumping.,Salta más alto manteniendo arriba antes de saltar.,"Springe höher, indem du vor dem Sprung nach oben hältst.",Saute plus haut en maintenant vers le haut avant de sauter.,Salta più in alto tenendo premuto verso l'alto prima di saltare.,"Прыгайте выше, удерживая вверх перед прыжком.",ジャンプする前に上を押し続けると高くジャンプできます。,Pule mais alto segurando para cima antes de pular.,跳跃前按住上键可以跳得更高。,점프하기 전에 위쪽을 누르고 있으면 더 높이 점프합니다.
SIGN2,Reload your gun often by pressing right click,Recarga tu arma a menudo pulsando el botón derecho del ratón.,Lade deine Waffe regelmäßig mit einem Rechtsklick nach.,Recharge souvent ton arme en cliquant avec le bouton droit de la souris.,Ricarica spesso la tua arma premendo il tasto destro del mouse.,"Чаще перезаряжайте оружие, нажимая правую кнопку мыши.",右クリックを押してこまめに銃をリロードしましょう。,Recarregue sua arma com frequência pressionando o botão direito do mouse.,经常按鼠标右键给你的枪重新装弹。,마우스 오른쪽 버튼을 자주 눌러 무기를 재장전하세요.
SIGN3,Hold down while jumping to shoot in the air.,Mantén abajo mientras saltas para disparar en el aire.,"Halte beim Springen nach unten, um in der Luft zu schießen.",Maintiens vers le bas pendant le saut pour tirer dans les airs.,Tieni premuto verso il basso mentre salti per sparare in aria.,"Удерживайте вниз во время прыжка, чтобы стрелять в воздухе.",ジャンプ中に下を押し続けると空中で撃てます。,Segure para baixo enquanto pula para atirar no ar.,跳跃时按住下键可以在空中射击。,점프하는 동안 아래쪽을 누르고 있으면 공중에서 사격할 수 있습니다.
SIGN4,Make some distance to run slide under the wall.,Toma distancia para correr y deslizarte por debajo de la pared.,"Laufe ein Stück zurück, um Anlauf zu nehmen und unter der Wand hindurchzurutschen.",Prends de la distance pour courir et glisser sous le mur.,Prendi un po' di distanza per correre e scivolare sotto il muro.,"Отбегите подальше, чтобы разбежаться и проскользнуть под стеной.",少し距離を取って走り、壁の下をスライディングでくぐり抜けましょう。,Tome distância para correr e deslizar por baixo da parede.,先拉开一段距离，然后奔跑滑铲穿过墙下。,거리를 두고 달려가 벽 아래로 슬라이딩하세요.
SIGN5,"Go into doors for ammo, health and secrets.","Entra por las puertas para conseguir munición, salud y secretos.","Gehe durch Türen, um Munition, Gesundheit und Geheimnisse zu finden.","Entre dans les portes pour obtenir des munitions, de la santé et découvrir des secrets.","Entra nelle porte per trovare munizioni, salute e segreti.","Заходите в двери, чтобы найти боеприпасы, здоровье и секреты.",ドアに入ると、弾薬や体力、秘密を見つけられます。,"Entre pelas portas para encontrar munição, vida e segredos.",进入房门可以获得弹药、生命值和秘密。,"문으로 들어가 탄약, 체력, 비밀을 찾아보세요."
SIGN6,"Beware, the nephilim!",¡Cuidado con los nefilim!,Hütet euch vor den Nephilim!,Attention aux nephilims !,Attenzione ai nefilim!,Остерегайтесь нефилимов!,ネフィリムに気をつけろ！,Cuidado com os nefilins!,小心尼腓人！,네피림을 조심해!
SIGNGK,You need the gold key to enter.,Necesitas la llave dorada para entrar.,"Du brauchst den goldenen Schlüssel, um einzutreten.",Tu as besoin de la clé dorée pour entrer.,Hai bisogno della chiave d'oro per entrare.,"Чтобы войти, нужен золотой ключ.",入るには金の鍵が必要です。,Você precisa da chave dourada para entrar.,你需要金钥匙才能进入。,들어가려면 황금 열쇠가 필요합니다.
